,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
455,SWA2639,8,KPHX,02/18/2017 21:40:00,B738,C19,12,B8,898.77,,
456,SWA5136,7R,KPHX,02/18/2017 22:30:00,B733,C17,12,G8,755.12,,
457,SWA1949,8,KPHX,02/18/2017 20:50:00,B737,C1,11,B8,951.57,,
458,SWA2151,8,KPHX,02/18/2017 23:15:00,B737,C8,12,B8,947.84,,
459,SWA5493,7R,KPHX,02/18/2017 23:50:00,B733,D8,11,G8,836.18,,
460,AAL853,8,KPHX,02/18/2017 21:24:00,A321,A18,3,B8,287.94,,
461,DAL1115,8,KPHX,02/18/2017 21:30:00,B739,15,2,B8,244.68,,
462,SWA1124,8,KPHX,02/18/2017 21:50:00,B737,D4,11,B8,891.68,,
463,SWA2423,8,KPHX,02/19/2017 00:10:00,B733,D5,10,B8,821.32,,
464,SWA5053,8,KPHX,02/18/2017 21:35:00,B737,D1,10,B8,864.16,,
465,AAL601,8,KPHX,02/18/2017 20:55:00,A319,A6,4,B8,512.47,,
466,ASA688,8,KPHX,02/18/2017 22:55:00,B739,11,9,B8,1008.36,,
467,SWA9007,7R,KPHX,02/18/2017 21:10:00,B737,C11,12,G8,718.9,,
468,AAL486,7R,KPHX,02/18/2017 23:45:00,A321,A22,3,G5,785.07,,
469,AAL490,8,KPHX,02/18/2017 23:05:00,A319,B4,5,B8,577.66,,
470,AAL1744,8,KPHX,02/19/2017 00:30:00,A321,A26,3,B9,293.93,,
471,SKW3046,8,KPHX,02/19/2017 00:59:00,CRJ7,B1A,6,B11,256.65,,
472,AAL1017,8,KPHX,02/18/2017 23:00:00,B738,B11,6,B10,605.93,,
