,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
309,DAL2299,27L,KATL,02/17/2017 20:55:00,B738,A33,2,59,598.21,,
310,DAL2136,28,KATL,02/17/2017 20:19:00,A319,B19,9,72,1394.23,,
311,DAL1750,26R,KATL,02/17/2017 18:25:00,B763,A25,2,8,833.19,,
312,DAL1185,28,KATL,02/17/2017 20:15:00,MD90,B24,2,71,1590.78,,
313,SWA138,26R,KATL,02/17/2017 21:35:00,B737,C9,15,9,850.97,,
314,DAL2302,26R,KATL,02/17/2017 20:13:00,B752,A16,7,8,825.03,,
315,DAL2198,26R,KATL,02/17/2017 19:40:00,B737,B17,9,9,749.9,,
316,ASQ5397,28,KATL,02/17/2017 22:09:00,CRJ2,D44,4,73,563.86,,
317,SKW4552,26R,KATL,02/17/2017 16:44:00,CRJ2,D41,5,9,253.51,,
318,ASQ5272,26R,KATL,02/17/2017 21:40:00,CRJ7,D28,10,9,261.04,,
