,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
171,SKW5048,35L,KDEN,02/19/2017 12:55:00,CRJ2,B92,11,48,164.13,,
172,FFT355,35L,KDEN,02/19/2017 12:35:00,A319,A42,15,49,915.76,,
173,SKW5322,16L,KDEN,02/19/2017 13:40:00,CRJ2,B61,7,23,578.44,,
174,FFT225,16L,KDEN,02/19/2017 12:30:00,A319,A40,15,21,1853.09,,
175,SKW5572,16L,KDEN,02/19/2017 14:00:00,CRJ2,B73,7,23,699.01,,
176,AAL2380,16L,KDEN,02/19/2017 13:30:00,MD82,A50,15,21,2358.94,,
177,DAL1816,16L,KDEN,02/19/2017 13:21:00,B752,A31,12,21,1441.08,,
178,DAL1965,16L,KDEN,02/19/2017 13:05:00,A319,A28,14,21,1227.3,,
179,ACA1037,16L,KDEN,02/19/2017 13:55:00,E190,A47,13,23,627.88,,
180,SKW5622,16R,KDEN,02/19/2017 15:45:00,CRJ2,B82,11,8,631.78,,
181,DAL2836,16L,KDEN,02/19/2017 13:15:00,A319,A31,12,21,1666.39,,
182,DAL1779,16L,KDEN,02/19/2017 17:30:00,MD90,A30,14,21,1262.49,,
183,SKW5266,16R,KDEN,02/19/2017 18:24:00,CRJ2,B86,11,8,644.58,,
184,NKS425,16R,KDEN,02/19/2017 17:28:00,A321,A52,15,5,2421.4,,
185,SKW5355,16R,KDEN,02/19/2017 18:25:00,E75L,B53,6,5,768.5,,
186,SKW5219,16L,KDEN,02/19/2017 19:07:00,CRJ2,B69,7,23,606.62,,
187,DAL716,16L,KDEN,02/19/2017 19:15:00,MD90,A31,12,21,2034.12,,
188,FFT327,16R,KDEN,02/19/2017 19:15:00,A319,A34,14,5,2182.85,,
189,SWA1001,16R,KDEN,02/19/2017 19:30:00,B737,C27,1,6,1155.98,,
190,CPZ5687,16R,KDEN,02/19/2017 19:15:00,E75S,A28,14,8,556.15,,
191,AAL1820,16R,KDEN,02/19/2017 20:16:00,A321,A48,15,5,1861.28,,
192,DAL1817,16L,KDEN,02/19/2017 18:50:00,A320,A30,14,21,1468.18,,
193,SWA4406,16R,KDEN,02/19/2017 20:40:00,B738,C43,2,5,1262.32,,
194,SWA5167,16L,KDEN,02/19/2017 20:30:00,B737,C47,2,21,1191.3,,
195,SKW5362,16L,KDEN,02/19/2017 21:20:00,E75L,B60,10,23,606.98,,
196,FFT711,17R,KDEN,02/19/2017 18:55:00,A319,A32,14,51,1451.86,,
197,SWA4095,16R,KDEN,02/19/2017 21:10:00,B738,C28,3,6,1226.76,,
198,SKW5514,16R,KDEN,02/19/2017 21:22:00,CRJ2,B73,7,5,643.92,,
199,SKW5287,16R,KDEN,02/19/2017 21:29:00,CRJ2,B86,11,8,841.19,,
200,DAL1854,16L,KDEN,02/19/2017 20:59:00,MD90,A27,12,21,1823.75,,
201,FFT283,16L,KDEN,02/19/2017 21:50:00,A321,A38,14,21,1304.13,,
202,AAL2362,16L,KDEN,02/19/2017 22:30:00,A321,A51,13,21,1299.62,,
203,SKW5656,35L,KDEN,02/20/2017 00:31:00,CRJ2,B55,6,46,471.8,,
204,FFT572,35L,KDEN,02/20/2017 00:41:00,A320,A36,14,49,1006.93,,
205,SWA3110,34R,KDEN,02/19/2017 23:50:00,B737,C33,1,20,1012.76,,
206,SWA2696,35L,KDEN,02/19/2017 23:40:00,B737,C23,1,45,1587.82,,
207,SWA3992,35L,KDEN,02/20/2017 01:50:00,B737,C31,1,45,1079.37,,
208,AAL1176,35L,KDEN,02/19/2017 23:00:00,B738,A47,13,49,1027.35,,
209,NKS355,35L,KDEN,02/20/2017 01:10:00,A321,A52,15,49,546.97,,
210,AAL1532,35L,KDEN,02/20/2017 00:59:00,B738,A51,13,49,636.47,,
211,FFT714,34R,KDEN,02/20/2017 03:10:00,A319,A36,14,24,1092.74,,
212,FFT423,35R,KDEN,02/20/2017 03:15:00,A320,A42,15,39,1128.68,,
213,AAL1865,35L,KDEN,02/20/2017 03:14:00,A321,A53,13,49,925.57,,
214,SWA1909,35L,KDEN,02/20/2017 04:35:00,B737,C35,1,45,935.28,,
215,SWA2914,35L,KDEN,02/20/2017 05:55:00,B733,C45,2,45,1333.57,,
216,AAL1384,35L,KDEN,02/20/2017 05:54:00,B738,A51,13,49,1004.0,,
217,UAL383,16L,KDEN,02/19/2017 06:40:00,B772,B38,10,21,2175.28,,
218,UAL1685,16L,KDEN,02/19/2017 06:50:00,B752,B32,9,21,1064.51,,
219,UAL469,16L,KDEN,02/19/2017 13:05:00,B739,B32,9,21,1154.45,,
220,UAL1119,35L,KDEN,02/19/2017 13:55:00,B738,B26,9,49,732.33,,
221,SKW5831,16L,KDEN,02/19/2017 13:35:00,CRJ2,B77,7,23,565.61,,
222,UAL1947,16L,KDEN,02/19/2017 12:59:00,B739,B38,10,21,1590.9,,
223,UAL456,16L,KDEN,02/19/2017 14:50:00,B738,B17,5,23,782.39,,
224,UAL2028,16R,KDEN,02/19/2017 14:40:00,B739,B44,10,8,1244.32,,
225,UAL1272,17R,KDEN,02/19/2017 12:56:00,B739,B47,6,51,1488.2,,
226,UAL1821,16L,KDEN,02/19/2017 13:59:00,B752,B42,10,21,1595.87,,
